Key, Value
1663,1.05E-05
1665,9.42E-06
1666,1.67E-05
1668,1.20E-05
1670,9.89E-06
1672,9.57E-06
1673,1.68E-05
1675,1.05E-05
1677,9.62E-06
1679,8.80E-06
1680,1.55E-05
1682,1.11E-05
1684,9.31E-06
1686,7.97E-06
1688,7.15E-06
1689,1.42E-05
1691,9.28E-06
1693,8.33E-06
1695,7.52E-06
1696,1.44E-05
1698,9.45E-06
1700,8.03E-06
1702,6.88E-06
1703,1.33E-05
1705,8.91E-06
1707,7.49E-06
1709,6.62E-06
1710,1.36E-05
1712,8.51E-06
1714,7.43E-06
1716,6.61E-06
1718,5.81E-06
1719,1.07E-05
1721,7.76E-06
1723,6.67E-06
1725,5.91E-06
1726,1.10E-05
1728,7.77E-06
1730,6.26E-06
1732,5.59E-06
1733,1.05E-05
1735,6.61E-06
1737,5.81E-06
1739,5.38E-06
1740,9.99E-06
1742,6.61E-06
1744,5.49E-06
1746,5.31E-06
1748,4.70E-06
1749,8.46E-06
1751,5.83E-06
1753,5.02E-06
1755,4.93E-06
1756,8.10E-06
1758,6.19E-06
1760,4.72E-06
1762,4.03E-06
1763,8.72E-06
1765,5.78E-06
1767,4.52E-06
1769,4.58E-06
1770,7.72E-06
1772,5.14E-06
1774,4.60E-06
1776,4.06E-06
1778,3.31E-06
1779,6.67E-06
1781,5.17E-06
1783,4.10E-06
1785,3.65E-06
1786,6.69E-06
1788,4.39E-06
1790,3.66E-06
1792,3.45E-06
1793,6.43E-06
1795,4.26E-06
1797,3.75E-06
1799,3.19E-06
1800,5.55E-06
1802,4.31E-06
1804,3.26E-06
1806,3.44E-06
1808,2.63E-06
1809,5.50E-06
1811,3.83E-06
1813,3.50E-06
1815,2.97E-06
1816,5.38E-06
1818,3.48E-06
1820,2.94E-06
1822,2.81E-06
1823,5.00E-06
1825,3.44E-06
1827,2.69E-06
1829,2.63E-06
1830,4.77E-06
1832,3.27E-06
1834,2.65E-06
1836,2.25E-06
1838,2.00E-06
1839,4.18E-06
1841,2.69E-06
1843,2.40E-06
1845,2.50E-06
1846,3.80E-06
1848,2.75E-06
1850,2.07E-06
1852,2.08E-06
1853,4.19E-06
1855,2.76E-06
1857,2.10E-06
1859,1.93E-06
1860,3.55E-06
1862,2.35E-06
1864,2.24E-06
1866,1.92E-06
1868,1.72E-06
1869,3.09E-06
1871,2.18E-06
1873,1.90E-06
1875,1.68E-06
1876,2.69E-06
1878,2.06E-06
1880,1.57E-06
1882,1.65E-06
1883,3.41E-06
1885,1.94E-06
1887,1.80E-06
1889,1.58E-06
1890,2.81E-06
1892,1.97E-06
1894,1.87E-06
1896,1.51E-06
1898,1.46E-06
1899,2.62E-06
1901,1.75E-06
1903,1.21E-06
1905,1.59E-06
1906,2.39E-06
1908,1.70E-06
1910,1.40E-06
1912,1.22E-06
1913,2.41E-06
1915,1.35E-06
1917,1.31E-06
1919,1.26E-06
1920,2.18E-06
1922,1.67E-06
1924,1.21E-06
1926,1.29E-06
1928,1.03E-06
1929,1.95E-06
1931,1.48E-06
1933,1.10E-06
1935,1.15E-06
1936,2.08E-06
1938,1.28E-06
1940,1.12E-06
1942,9.40E-07
1943,1.77E-06
1945,1.35E-06
1947,1.09E-06
1949,1.16E-06
1950,1.86E-06
1952,1.36E-06
1954,9.80E-07
1956,8.30E-07
1958,8.80E-07
1959,1.51E-06
1961,9.50E-07
1963,1.10E-06
1965,8.70E-07
1966,1.44E-06
1968,1.13E-06
1970,1.00E-06
1972,7.70E-07
1973,1.42E-06
1975,8.30E-07
1977,9.50E-07
1979,8.70E-07
1980,1.42E-06
1982,8.70E-07
1984,8.50E-07
1986,6.70E-07
1988,5.40E-07
1989,1.22E-06
1991,1.02E-06
1993,7.00E-07
1995,7.30E-07
1996,1.00E-06
1998,9.00E-07
2000,6.40E-07
2002,6.40E-07
